Gene	UniProtID	Accession	Protein_Name	Terms(GO/InterPro)	Term_Description	Term_namespace/type
rnfB	P57214	RNFB_BUCAI	Ion-translocating oxidoreductase complex subunit B	IPR007202	4Fe-4S domain	domain
rnfB	P57214	RNFB_BUCAI	Ion-translocating oxidoreductase complex subunit B	IPR010207	Ion-translocating oxidoreductase complex, RnfB/RsxB	family
rnfB	P57214	RNFB_BUCAI	Ion-translocating oxidoreductase complex subunit B	IPR016463	Electron transport complex, RnfB/RsxB, Proteobacteria	family
rnfB	P57214	RNFB_BUCAI	Ion-translocating oxidoreductase complex subunit B	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	domain
rnfB	P57214	RNFB_BUCAI	Ion-translocating oxidoreductase complex subunit B	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	conserved_site
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	GO:0009055	electron transfer activity	F
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	GO:0051539	4 iron, 4 sulfur cluster binding	F
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	GO:0016020	membrane	C
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	IPR010208	Ion-translocating oxidoreductase complex, subunit RnfC/RsxC	family
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	IPR011538	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain	domain
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	domain
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	conserved_site
rnfC	P57215	RNFC_BUCAI	Ion-translocating oxidoreductase complex subunit C	IPR037225	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain superfamily	homologous_superfamily
rnfD	P57216	RNFD_BUCAI	Ion-translocating oxidoreductase complex subunit D	GO:0055085	transmembrane transport	P
rnfD	P57216	RNFD_BUCAI	Ion-translocating oxidoreductase complex subunit D	GO:0016020	membrane	C
rnfD	P57216	RNFD_BUCAI	Ion-translocating oxidoreductase complex subunit D	GO:0022900	electron transport chain	P
rnfD	P57216	RNFD_BUCAI	Ion-translocating oxidoreductase complex subunit D	IPR004338	Ion-translocating oxidoreductase NqrB/RnfD	family
rnfD	P57216	RNFD_BUCAI	Ion-translocating oxidoreductase complex subunit D	IPR011303	Ion-translocating oxidoreductase complex subunit RnfD, bacterial	family
nth	P57219	END3_BUCAI	Endonuclease III	GO:0006284	base-excision repair	P
nth	P57219	END3_BUCAI	Endonuclease III	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	F
nth	P57219	END3_BUCAI	Endonuclease III	GO:0003677	DNA binding	F
nth	P57219	END3_BUCAI	Endonuclease III	GO:0003824	catalytic activity	F
nth	P57219	END3_BUCAI	Endonuclease III	GO:0006281	DNA repair	P
nth	P57219	END3_BUCAI	Endonuclease III	IPR000445	Helix-hairpin-helix motif	conserved_site
nth	P57219	END3_BUCAI	Endonuclease III	IPR003265	HhH-GPD domain	domain
nth	P57219	END3_BUCAI	Endonuclease III	IPR004036	Endonuclease III-like, conserved site-2	conserved_site
nth	P57219	END3_BUCAI	Endonuclease III	IPR005759	Endonuclease III	family
nth	P57219	END3_BUCAI	Endonuclease III	IPR011257	DNA glycosylase	homologous_superfamily
nth	P57219	END3_BUCAI	Endonuclease III	IPR023170	Helix-hairpin-helix, base-excision DNA repair, C-terminal	homologous_superfamily
priA	P57220	PRIA_BUCAI	Primosomal protein N'	GO:0003677	DNA binding	F
priA	P57220	PRIA_BUCAI	Primosomal protein N'	GO:0003678	DNA helicase activity	F
priA	P57220	PRIA_BUCAI	Primosomal protein N'	GO:0006260	DNA replication	P
priA	P57220	PRIA_BUCAI	Primosomal protein N'	GO:0032508	DNA duplex unwinding	P
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR005259	Primosomal protein N'	family
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR014001	Helicase superfamily 1/2, ATP-binding domain	domain
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR027417	P-loop containing nucleoside triphosphate hydrolase	homologous_superfamily
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR041222	Primosomal protein N', 3' DNA-binding domain	domain
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR041236	Primosomal protein N, C-terminal domain	domain
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR042115	Primosomal protein N', 3' DNA-binding domain superfamily	homologous_superfamily
priA	P57220	PRIA_BUCAI	Primosomal protein N'	IPR048949	Primosomal protein N'-like, winged helix	domain
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0000166	nucleotide binding	F
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0004831	tyrosine-tRNA ligase activity	F
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0005524	ATP binding	F
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0006437	tyrosyl-tRNA aminoacylation	P
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0004812	aminoacyl-tRNA ligase activity	F
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0006418	tRNA aminoacylation for protein translation	P
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	GO:0003723	RNA binding	F
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	IPR002305	Aminoacyl-tRNA synthetase, class Ic	family
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	IPR002307	Tyrosine-tRNA ligase	family
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	homologous_superfamily
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	IPR024088	Tyrosine-tRNA ligase, bacterial-type	family
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	IPR024107	Tyrosine-tRNA ligase, bacterial-type, type 1	family
tyrS	P57221	SYY_BUCAI	Tyrosine--tRNA ligase	IPR036986	RNA-binding S4 domain superfamily	homologous_superfamily
aroH	P57224	AROH_BUCAI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	GO:0009058	biosynthetic process	P
aroH	P57224	AROH_BUCAI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	F
aroH	P57224	AROH_BUCAI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	GO:0009073	aromatic amino acid family biosynthetic process	P
aroH	P57224	AROH_BUCAI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	IPR006218	DAHP synthetase I/KDSA	domain
aroH	P57224	AROH_BUCAI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	IPR006219	DAHP synthase, class 1	family
aroH	P57224	AROH_BUCAI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	IPR013785	Aldolase-type TIM barrel	homologous_superfamily
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0004812	aminoacyl-tRNA ligase activity	F
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0005524	ATP binding	F
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0043039	tRNA aminoacylation	P
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0000166	nucleotide binding	F
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0006418	tRNA aminoacylation for protein translation	P
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0004829	threonine-tRNA ligase activity	F
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0006435	threonyl-tRNA aminoacylation	P
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	GO:0005737	cytoplasm	C
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)	domain
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR002320	Threonine-tRNA ligase, class IIa	family
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR004095	TGS	domain
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR004154	Anticodon-binding	domain
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR006195	Aminoacyl-tRNA synthetase, class II	domain
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR012675	Beta-grasp domain superfamily	homologous_superfamily
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR012947	Threonyl/alanyl tRNA synthetase, SAD	domain
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR018163	Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily	homologous_superfamily
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR033728	Threonine-tRNA ligase catalytic core domain	domain
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR036621	Anticodon-binding domain superfamily	homologous_superfamily
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR045864	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)	homologous_superfamily
thrS	P57225	SYT_BUCAI	Threonine--tRNA ligase	IPR047246	Threonine-tRNA ligase, class IIa, anticodon-binding domain	domain
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0000166	nucleotide binding	F
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0004826	phenylalanine-tRNA ligase activity	F
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0005524	ATP binding	F
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0006432	phenylalanyl-tRNA aminoacylation	P
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0005737	cytoplasm	C
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0000049	tRNA binding	F
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0004812	aminoacyl-tRNA ligase activity	F
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	GO:0043039	tRNA aminoacylation	P
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR002319	Phenylalanyl-tRNA synthetase	domain
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR004188	Phenylalanine-tRNA ligase, class II, N-terminal	domain
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR004529	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	family
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR006195	Aminoacyl-tRNA synthetase, class II	domain
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR010978	Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm	homologous_superfamily
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR022911	Phenylalanine-tRNA ligase alpha chain 1, bacterial	family
pheS	P57229	SYFA_BUCAI	Phenylalanine--tRNA ligase alpha subunit	IPR045864	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)	homologous_superfamily
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	GO:0000049	tRNA binding	F
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	GO:0003723	RNA binding	F
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	GO:0004826	phenylalanine-tRNA ligase activity	F
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	GO:0000287	magnesium ion binding	F
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	GO:0005524	ATP binding	F
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	GO:0006432	phenylalanyl-tRNA aminoacylation	P
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR002547	tRNA-binding domain	domain
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR004532	Phenylalanine-tRNA ligase, class IIc, beta subunit, bacterial type	family
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR005121	Ferrodoxin-fold anticodon-binding domain	domain
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR005146	B3/B4 tRNA-binding domain	domain
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR005147	tRNA synthetase, B5-domain	domain
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR009061	Putative DNA-binding domain superfamily	homologous_superfamily
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR012340	Nucleic acid-binding, OB-fold	homologous_superfamily
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR020825	Phenylalanyl-tRNA synthetase-like, B3/B4	homologous_superfamily
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR033714	Phenylalanly tRNA synthetase, tRNA-binding-domain	domain
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR036690	Ferrodoxin-fold anticodon-binding domain superfamily	homologous_superfamily
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR041616	Phenylalanyl tRNA synthetase beta chain, core domain	domain
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR045060	Phenylalanine-tRNA ligase, class IIc, beta subunit	family
pheT	P57230	SYFB_BUCAI	Phenylalanine--tRNA ligase beta subunit	IPR045864	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)	homologous_superfamily
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	F
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	GO:0101030	tRNA-guanine transglycosylation	P
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	GO:0016763	pentosyltransferase activity	F
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	GO:0006400	tRNA modification	P
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	IPR002616	tRNA-guanine(15) transglycosylase-like	domain
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	IPR004803	tRNA-guanine transglycosylase	family
tgt	P57233	TGT_BUCAI	Queuine tRNA-ribosyltransferase	IPR036511	Queuine tRNA-ribosyltransferase-like	homologous_superfamily
nfo	P57237	END4_BUCAI	Probable endonuclease 4	GO:0003677	DNA binding	F
nfo	P57237	END4_BUCAI	Probable endonuclease 4	GO:0008270	zinc ion binding	F
nfo	P57237	END4_BUCAI	Probable endonuclease 4	GO:0006281	DNA repair	P
nfo	P57237	END4_BUCAI	Probable endonuclease 4	IPR001719	AP endonuclease 2	family
nfo	P57237	END4_BUCAI	Probable endonuclease 4	IPR013022	Xylose isomerase-like, TIM barrel domain	domain
nfo	P57237	END4_BUCAI	Probable endonuclease 4	IPR018246	AP endonuclease 2, zinc binding site	binding_site
nfo	P57237	END4_BUCAI	Probable endonuclease 4	IPR036237	Xylose isomerase-like superfamily	homologous_superfamily
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	F
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0042277	peptide binding	F
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0051082	unfolded protein binding	F
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0006457	protein folding	P
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly	P
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0050821	protein stabilization	P
surA	P57240	SURA_BUCAI	Chaperone SurA	GO:0030288	outer membrane-bounded periplasmic space	C
surA	P57240	SURA_BUCAI	Chaperone SurA	IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	domain
surA	P57240	SURA_BUCAI	Chaperone SurA	IPR015391	SurA N-terminal	domain
surA	P57240	SURA_BUCAI	Chaperone SurA	IPR023034	Peptidyl-prolyl isomerase SurA	family
surA	P57240	SURA_BUCAI	Chaperone SurA	IPR027304	Trigger factor/SurA domain superfamily	homologous_superfamily
surA	P57240	SURA_BUCAI	Chaperone SurA	IPR046357	Peptidyl-prolyl cis-trans isomerase domain superfamily	homologous_superfamily
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	F
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	GO:0000154	rRNA modification	P
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	GO:0006364	rRNA processing	P
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm	family
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	IPR011530	Ribosomal RNA adenine dimethylase	family
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	IPR020596	Ribosomal RNA adenine methylase transferase, conserved site	conserved_site
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	IPR020598	Ribosomal RNA adenine methylase transferase, N-terminal	domain
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	IPR023165	rRNA adenine dimethylase-like, C-terminal	homologous_superfamily
rsmA	P57241	RSMA_BUCAI	Ribosomal RNA small subunit methyltransferase A	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	homologous_superfamily
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	GO:0004146	dihydrofolate reductase activity	F
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	GO:0046654	tetrahydrofolate biosynthetic process	P
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	GO:0050661	NADP binding	F
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	GO:0006545	glycine biosynthetic process	P
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	IPR001796	Dihydrofolate reductase domain	domain
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	IPR012259	Dihydrofolate reductase	family
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	IPR017925	Dihydrofolate reductase conserved site	conserved_site
folA	P57243	DYR_BUCAI	Dihydrofolate reductase	IPR024072	Dihydrofolate reductase-like domain superfamily	homologous_superfamily
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	GO:0005524	ATP binding	F
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	GO:0046872	metal ion binding	F
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	GO:0006807	nitrogen compound metabolic process	P
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	domain
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR005480	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	domain
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR005483	Carbamoyl-phosphate synthase large subunit, CPSase domain	domain
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR006275	Carbamoyl-phosphate synthase, large subunit	family
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR011607	Methylglyoxal synthase-like domain	domain
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR011761	ATP-grasp fold	domain
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR016185	Pre-ATP-grasp domain superfamily	homologous_superfamily
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR033937	Carbamoyl-phosphate synthase large chain, methylglyoxal synthase-like domain	domain
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR036897	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain superfamily	homologous_superfamily
carB	P57244	CARB_BUCAI	Carbamoyl phosphate synthase large chain	IPR036914	Methylglyoxal synthase-like domain superfamily	homologous_superfamily
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	F
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	P
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	GO:0006541	glutamine metabolic process	P
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	IPR002474	Carbamoyl-phosphate synthase small subunit, N-terminal domain	domain
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	IPR006274	Carbamoyl-phosphate synthase, small subunit	family
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	IPR017926	Glutamine amidotransferase	domain
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	IPR029062	Class I glutamine amidotransferase-like	homologous_superfamily
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	IPR035686	Carbamoyl-phosphate synthase small subunit, GATase1 domain	domain
carA	P57245	CARA_BUCAI	Carbamoyl phosphate synthase small chain	IPR036480	Carbamoyl-phosphate synthase small subunit, N-terminal domain superfamily	homologous_superfamily
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase	F
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	GO:0009089	lysine biosynthetic process via diaminopimelate	P
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	IPR000846	Dihydrodipicolinate reductase, N-terminal	domain
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	IPR022663	Dihydrodipicolinate reductase, C-terminal	domain
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	IPR022664	Dihydrodipicolinate reductase, conserved site	conserved_site
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	IPR023940	Dihydrodipicolinate reductase	family
dapB	P57246	DAPB_BUCAI	4-hydroxy-tetrahydrodipicolinate reductase	IPR036291	NAD(P)-binding domain superfamily	homologous_superfamily
ispH	P57247	ISPH_BUCAI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	GO:0046872	metal ion binding	F
ispH	P57247	ISPH_BUCAI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	F
ispH	P57247	ISPH_BUCAI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	P
ispH	P57247	ISPH_BUCAI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	GO:0050992	dimethylallyl diphosphate biosynthetic process	P
ispH	P57247	ISPH_BUCAI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	IPR003451	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	family
lspA	P57248	LSPA_BUCAI	Lipoprotein signal peptidase	GO:0004190	aspartic-type endopeptidase activity	F
lspA	P57248	LSPA_BUCAI	Lipoprotein signal peptidase	GO:0006508	proteolysis	P
lspA	P57248	LSPA_BUCAI	Lipoprotein signal peptidase	GO:0016020	membrane	C
lspA	P57248	LSPA_BUCAI	Lipoprotein signal peptidase	IPR001872	Peptidase A8, signal peptidase II	family
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0000166	nucleotide binding	F
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0004812	aminoacyl-tRNA ligase activity	F
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0005524	ATP binding	F
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0006418	tRNA aminoacylation for protein translation	P
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0000049	tRNA binding	F
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0004822	isoleucine-tRNA ligase activity	F
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0006428	isoleucyl-tRNA aminoacylation	P
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	GO:0002161	aminoacyl-tRNA editing activity	F
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	conserved_site
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR002300	Aminoacyl-tRNA synthetase, class Ia	domain
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR002301	Isoleucine-tRNA ligase	family
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain	homologous_superfamily
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	homologous_superfamily
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR010663	Zinc finger, FPG/IleRS-type	domain
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR013155	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding	domain
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	homologous_superfamily
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR023585	Isoleucine-tRNA ligase, type 1	family
ileS	P57249	SYI_BUCAI	Isoleucine--tRNA ligase	IPR033708	Isoleucyl tRNA synthetase type 1, anticodon-binding domain	domain
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	GO:0003919	FMN adenylyltransferase activity	F
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	GO:0009231	riboflavin biosynthetic process	P
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	GO:0008531	riboflavin kinase activity	F
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	IPR002606	Riboflavin kinase, bacterial	family
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	homologous_superfamily
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	IPR015864	FAD synthetase	domain
ribF	P57250	RIBF_BUCAI	Bifunctional riboflavin kinase/FMN adenylyltransferase	IPR015865	Riboflavin kinase domain, bacterial/eukaryotic	domain
